Loan_ID,Gender,Married,Dependents,Education,Employment_Type,Job_Domain,Business_Domain,Years_of_Experience,ApplicantIncome,CoapplicantIncome,Total_Monthly_Income,LoanAmount,Loan_Amount_Term,Interest_Rate,EMI,DTI,Credit_History,Property_Area,Loan_Status
LN100377,Male,Yes,0,Graduate,Self-Employed,,Agriculture,1.5,38710.0,0.0,38710,231939.0,60,8.153532254792111,4719.95,0.122,1,Rural,1
LN100548,Male,No,2,Graduate,Self-Employed,,Trading,2.8,11902.0,34903.0,46805,447505.0,180,8.547980553116078,4419.35,0.094,1,Semiurban,1
LN100979,Male,Yes,0,Graduate,salaried,Education,,1.5,51737.0,0.0,51737,910270.0,240,10.083445185648683,8834.69,0.171,0,Semiurban,1
LN101149,Female,Yes,3+,Graduate,Salaried,Consulting,,3.4,40638.0,0.0,40638,837221.0,84,7.0310054575053975,12648.6,0.311,1,Rural,1
LN100481,Male,No,3+,Graduate,Salaried,Retail,,0.8,65300.0,37089.0,102389,477015.0,120,7.860304132864382,5752.36,0.056,1,Urban,1
LN100076,Male,Yes,0,Graduate,Salaried,Retail,,5.5,8880.0,0.0,8880,732245.0,360,7.920265868963135,5332.31,0.6,0,Semiurban,1
LN100067,Female,No,1,Graduate,Salaried,Retail,,10.2,28273.0,0.0,28273,102999.0,120,9.860109001687354,1353.17,0.048,1,Semiurban,1
LN101096,Male,Yes,3+,Graduate,Salaried,Education,,5.4,99084.0,0.0,99084,810067.0,120,10.008186766421971,10708.77,0.108,1, Urban,1
LN100584,Male,Yes,1,Graduate,Salaried,Healthcare,,1.4,8224.0,0.0,8224,259686.0,84,14.644883344213824,4959.5,0.603,0,Semiurban,0
LN100824,Male,No,2,Graduate,Salaried,Healthcare,,0.6,58208.0,21542.0,79750,765348.0,60,11.051696801069378,16660.26,0.209,0,Rural,0
LN101052,Female,Yes,2,Graduate,Salaried,Government,,0.5,28863.0,0.0,28863,1153801.0,60,9.678218574496137,24332.58,0.843,0,Semiurban,0
